pickup_borough,pickup_zone_name,route_borough,route_zone_name,no_trips
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-Alphabet City,7120
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-Roosevelt Island,1564
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-Lower East Side,14924
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-Yorkville East,31543
Manhattan,Midtown East,Manhattan-Queens,Midtown East-Glen Oaks,104
Manhattan,Midtown East,Manhattan-Queens,Midtown East-Murray Hill-Queens,265
Manhattan,Midtown East,Manhattan-Staten Island,Midtown East-West Brighton,31
Manhattan,Midtown East,Manhattan-Queens,Midtown East-Flushing,520
Manhattan,Midtown East,Manhattan-Brooklyn,Midtown East-Kensington,304
Manhattan,Midtown East,Manhattan-Queens,Midtown East-Steinway,3976
Manhattan,Midtown East,Manhattan-Brooklyn,Midtown East-Red Hook,305
Manhattan,Midtown East,Manhattan-Queens,Midtown East-Hillcrest/Pomonok,248
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-East Chelsea,36309
Manhattan,Midtown East,Manhattan-Brooklyn,Midtown East-Greenpoint,3938
Manhattan,Midtown East,Manhattan-Brooklyn,Midtown East-Brownsville,81
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-Highbridge Park,66
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-East Harlem North,7891
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-Bloomingdale,2899
Manhattan,Midtown East,Manhattan-Staten Island,Midtown East-New Dorp/Midland Beach,24
Manhattan,Midtown East,Manhattan-Brooklyn,Midtown East-Williamsburg (South Side),3181
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-Greenwich Village North,27413
Manhattan,Midtown East,Manhattan-Bronx,Midtown East-Crotona Park East,56
Manhattan,Midtown East,Manhattan-Brooklyn,Midtown East-Boerum Hill,2821
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-East Village,47581
Manhattan,Midtown East,Manhattan-Queens,Midtown East-Rego Park,1017
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-Hamilton Heights,2099
Manhattan,Midtown East,Manhattan-Queens,Midtown East-Saint Michaels Cemetery/Woodside,8
Manhattan,Midtown East,Manhattan-Staten Island,Midtown East-Charleston/Tottenville,11
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-Kips Bay,50798
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-Manhattan Valley,6884
Manhattan,Midtown East,Manhattan-Bronx,Midtown East-Schuylerville/Edgewater Park,221
Manhattan,Midtown East,Manhattan-Queens,Midtown East-Rosedale,38
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-Murray Hill,121693
Manhattan,Midtown East,Manhattan-Queens,Midtown East-Fresh Meadows,119
Manhattan,Midtown East,Manhattan-Brooklyn,Midtown East-Madison,229
Manhattan,Midtown East,Manhattan-Queens,Midtown East-Corona,417
Manhattan,Midtown East,Manhattan-Brooklyn,Midtown East-Midwood,415
Manhattan,Midtown East,Manhattan-Queens,Midtown East-JFK Airport,24510
Manhattan,Midtown East,Manhattan-Brooklyn,Midtown East-Fort Greene,1670
Manhattan,Midtown East,Manhattan-Staten Island,Midtown East-South Beach/Dongan Hills,54
Manhattan,Midtown East,Manhattan-Queens,Midtown East-Elmhurst/Maspeth,909
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-Garment District,52333
Manhattan,Midtown East,Manhattan-Bronx,Midtown East-Van Cortlandt Village,189
Manhattan,Midtown East,Manhattan-Brooklyn,Midtown East-Prospect Park,174
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-Clinton East,61202
Manhattan,Midtown East,Manhattan-Brooklyn,Midtown East-East New York/Pennsylvania Avenue,23
Manhattan,Midtown East,Manhattan-Queens,Midtown East-Ozone Park,61
Manhattan,Midtown East,Manhattan-Queens,Midtown East-Long Island City/Hunters Point,10246
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-SoHo,12727
Manhattan,Midtown East,Manhattan-Brooklyn,Midtown East-Park Slope,4962
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-Chinatown,3266
Manhattan,Midtown East,Manhattan-Brooklyn,Midtown East-Cobble Hill,1455
Manhattan,Midtown East,Manhattan-Brooklyn,Midtown East-Williamsburg (North Side),4929
Manhattan,Midtown East,Manhattan-Bronx,Midtown East-Pelham Bay Park,4
Manhattan,Midtown East,Manhattan-Queens,Midtown East-Elmhurst,1624
Manhattan,Midtown East,Manhattan-Queens,Midtown East-Bay Terrace/Fort Totten,203
Manhattan,Midtown East,Manhattan-Queens,Midtown East-East Flushing,52
Manhattan,Midtown East,Manhattan-Bronx,Midtown East-Hunts Point,224
Manhattan,Midtown East,Manhattan-Queens,Midtown East-Springfield Gardens North,41
Manhattan,Midtown East,Manhattan-Bronx,Midtown East-Highbridge,223
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-Penn Station/Madison Sq West,94801
Manhattan,Midtown East,Manhattan-Queens,Midtown East-Woodhaven,238
Manhattan,Midtown East,Manhattan-Bronx,Midtown East-City Island,28
Manhattan,Midtown East,Manhattan-Brooklyn,Midtown East-Brooklyn Navy Yard,79
Manhattan,Midtown East,Manhattan-Queens,Midtown East-Jamaica Estates,244
Manhattan,Midtown East,Manhattan-Brooklyn,Midtown East-Marine Park/Floyd Bennett Field,5
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-Manhattanville,956
Manhattan,Midtown East,Manhattan-Queens,Midtown East-South Ozone Park,368
Manhattan,Midtown East,Manhattan-Bronx,Midtown East-Morrisania/Melrose,179
Manhattan,Midtown East,Manhattan-Bronx,Midtown East-Van Cortlandt Park,37
Manhattan,Midtown East,Manhattan-Queens,Midtown East-Forest Hills,3603
Manhattan,Midtown East,Manhattan-Bronx,Midtown East-Melrose South,306
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-Central Harlem North,4451
Manhattan,Midtown East,Manhattan-Queens,Midtown East-Hammels/Arverne,27
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-Upper East Side North,83370
Manhattan,Midtown East,Manhattan-Manhattan,Midtown East-Lenox Hill East,64911
Manhattan,Midtown East,Manhattan-Brooklyn,Midtown East-Manhattan Beach,40
Manhattan,Midtown East,Manhattan-Staten Island,Midtown East-Oakwood,16
Manhattan,West Village,Manhattan-Queens,West Village-Bellerose,16
Manhattan,West Village,Manhattan-Queens,West Village-Douglaston,16
Manhattan,West Village,Manhattan-Brooklyn,West Village-Bushwick South,3983
Manhattan,West Village,Manhattan-Queens,West Village-Sunnyside,2318
Manhattan,West Village,Manhattan-Queens,West Village-Laurelton,7
Manhattan,West Village,Manhattan-Queens,West Village-LaGuardia Airport,6626
Manhattan,West Village,Manhattan-Bronx,West Village-West Concourse,217
Manhattan,West Village,Manhattan-Bronx,West Village-Westchester Village/Unionport,60
Manhattan,West Village,Manhattan-Queens,West Village-Hillcrest/Pomonok,58
Manhattan,West Village,Manhattan-Bronx,West Village-Country Club,14
Manhattan,West Village,Manhattan-Staten Island,West Village-Westerleigh,11
Manhattan,West Village,Manhattan-Brooklyn,West Village-Sunset Park East,565
Manhattan,West Village,Manhattan-Manhattan,West Village-East Chelsea,66469
Manhattan,West Village,Manhattan-Manhattan,West Village-Meatpacking/West Village West,43857
Manhattan,West Village,Manhattan-Brooklyn,West Village-Erasmus,274
Manhattan,West Village,Manhattan-Manhattan,West Village-Two Bridges/Seward Park,8830
Manhattan,West Village,Manhattan-Bronx,West Village-Parkchester,78
Manhattan,West Village,Manhattan-Staten Island,West Village-Grymes Hill/Clifton,18
Manhattan,West Village,Manhattan-Brooklyn,West Village-East Flatbush/Remsen Village,153
Manhattan,West Village,Manhattan-Manhattan,West Village-Seaport,5035
Manhattan,West Village,Manhattan-Queens,West Village-Forest Park/Highland Park,10
Manhattan,West Village,Manhattan-Queens,West Village-Woodside,934
Manhattan,West Village,Manhattan-Manhattan,West Village-East Village,82524
Manhattan,West Village,Manhattan-Brooklyn,West Village-East Flatbush/Farragut,165
Manhattan,West Village,Manhattan-Brooklyn,West Village-Windsor Terrace,1282
Manhattan,West Village,Manhattan-Staten Island,West Village-Mariners Harbor,8
Manhattan,West Village,Manhattan-Brooklyn,West Village-Cobble Hill,1796
Manhattan,West Village,Manhattan-Queens,West Village-Jamaica,72
Manhattan,West Village,Manhattan-Manhattan,West Village-Financial District South,5512
Manhattan,West Village,Manhattan-Brooklyn,West Village-DUMBO/Vinegar Hill,2697
Manhattan,West Village,Manhattan-Manhattan,West Village-Union Sq,81945
Manhattan,West Village,Manhattan-Manhattan,West Village-Chinatown,5609
Manhattan,West Village,Manhattan-Bronx,West Village-Fordham South,53
Manhattan,West Village,Manhattan-Brooklyn,West Village-Red Hook,563
Manhattan,West Village,Manhattan-Brooklyn,West Village-Dyker Heights,417
Manhattan,West Village,Manhattan-Queens,West Village-Flushing Meadows-Corona Park,50
Manhattan,West Village,Manhattan-Queens,West Village-Hammels/Arverne,9
Manhattan,West Village,Manhattan-Manhattan,West Village-Flatiron,61244
Manhattan,West Village,Manhattan-Queens,West Village-Ozone Park,72
Manhattan,West Village,Manhattan-Brooklyn,West Village-Downtown Brooklyn/MetroTech,2714
Manhattan,West Village,Manhattan-Queens,West Village-Hollis,10
Manhattan,West Village,Manhattan-Bronx,West Village-Riverdale/North Riverdale/Fieldston,272
Manhattan,West Village,Manhattan-Brooklyn,West Village-Stuyvesant Heights,2395
Manhattan,West Village,Manhattan-Bronx,West Village-Morrisania/Melrose,72
Manhattan,West Village,Manhattan-Manhattan,West Village-Sutton Place/Turtle Bay North,12036
Manhattan,West Village,Manhattan-Manhattan,West Village-Hudson Sq,23799
Manhattan,West Village,Manhattan-Bronx,West Village-Crotona Park,5
Manhattan,West Village,Manhattan-Bronx,West Village-Pelham Bay,44
Manhattan,West Village,Manhattan-Staten Island,West Village-West Brighton,20
Manhattan,West Village,Manhattan-Brooklyn,West Village-Cypress Hills,86
Manhattan,West Village,Manhattan-Bronx,West Village-Van Cortlandt Park,24
Manhattan,West Village,Manhattan-Brooklyn,West Village-Sunset Park West,1580
Manhattan,West Village,Manhattan-Staten Island,West Village-Stapleton,19
Manhattan,West Village,Manhattan-Manhattan,West Village-Garment District,19279
Manhattan,West Village,Manhattan-Bronx,West Village-Pelham Bay Park,2
Manhattan,West Village,Manhattan-Brooklyn,West Village-Gravesend,72
Manhattan,West Village,Manhattan-Bronx,West Village-West Farms/Bronx River,62
Manhattan,West Village,Manhattan-Manhattan,West Village-Manhattanville,1292
Manhattan,West Village,Manhattan-Manhattan,West Village-Kips Bay,18550
Manhattan,West Village,Manhattan-Brooklyn,West Village-Brooklyn Navy Yard,117
Manhattan,West Village,Manhattan-Queens,West Village-Forest Hills,944
Manhattan,West Village,Manhattan-Queens,West Village-College Point,20
Manhattan,West Village,Manhattan-Staten Island,West Village-Port Richmond,3
Manhattan,West Village,Manhattan-Queens,West Village-Bayside,59
Manhattan,West Village,Manhattan-Brooklyn,West Village-East Williamsburg,4042
Manhattan,West Village,Manhattan-Brooklyn,West Village-Columbia Street,563
Manhattan,West Village,Manhattan-Brooklyn,West Village-Williamsburg (South Side),6826
Manhattan,West Village,Manhattan-Queens,West Village-Whitestone,43
Manhattan,West Village,Manhattan-Manhattan,West Village-Lenox Hill West,12645
Manhattan,West Village,Manhattan-Manhattan,West Village-Upper West Side North,9081
Manhattan,West Village,Manhattan-Brooklyn,West Village-Crown Heights North,4239
Manhattan,West Village,Manhattan-Brooklyn,West Village-East New York/Pennsylvania Avenue,61
Manhattan,West Village,Manhattan-Brooklyn,West Village-Clinton Hill,4129
Manhattan,West Village,Manhattan-Brooklyn,West Village-Gowanus,1344
Manhattan,West Village,Manhattan-Bronx,West Village-Van Nest/Morris Park,48
Manhattan,West Village,Manhattan-Brooklyn,West Village-Bushwick North,2299
Manhattan,West Village,Manhattan-Manhattan,West Village-Upper West Side South,12569
Manhattan,West Village,Manhattan-Brooklyn,West Village-Canarsie,126
Manhattan,West Village,Manhattan-Bronx,West Village-Mott Haven/Port Morris,470
Manhattan,West Village,Manhattan-Manhattan,West Village-Alphabet City,12923
Manhattan,West Village,Manhattan-Queens,West Village-Elmhurst,821
Manhattan,West Village,Manhattan-Manhattan,West Village-Battery Park City,30706
Manhattan,West Village,Manhattan-Manhattan,West Village-Gramercy,43780
Manhattan,West Village,Manhattan-Manhattan,West Village-Upper East Side North,12493
Manhattan,West Village,Manhattan-Manhattan,West Village-Manhattan Valley,4022
Manhattan,West Village,Manhattan-Queens,West Village-Willets Point,4
Manhattan,West Village,Manhattan-Queens,West Village-Howard Beach,31
Manhattan,West Village,Manhattan-Brooklyn,West Village-Flatbush/Ditmas Park,2233
Manhattan,West Village,Manhattan-Manhattan,West Village-Lower East Side,33260
Manhattan,West Village,Manhattan-Bronx,West Village-East Concourse/Concourse Village,293
Manhattan,West Village,Manhattan-Brooklyn,West Village-Brownsville,108
Manhattan,West Village,Manhattan-Manhattan,West Village-Midtown North,21690
Manhattan,West Village,Manhattan-Bronx,West Village-Mount Hope,164
Manhattan,West Village,Manhattan-Brooklyn,West Village-Starrett City,11
Manhattan,West Village,Manhattan-Manhattan,West Village-Central Park,5518
Manhattan,West Village,Manhattan-Bronx,West Village-University Heights/Morris Heights,96
Manhattan,West Village,Manhattan-Manhattan,West Village-Inwood Hill Park,64
Manhattan,West Village,Manhattan-Queens,West Village-Astoria,5358
Manhattan,West Village,Manhattan-Staten Island,West Village-New Dorp/Midland Beach,21
Manhattan,West Village,Manhattan-Queens,West Village-Far Rockaway,5
Manhattan,West Village,Manhattan-Manhattan,West Village-Little Italy/NoLiTa,36391
Manhattan,West Village,Manhattan-Bronx,West Village-Claremont/Bathgate,52
Manhattan,West Village,Manhattan-Manhattan,West Village-Financial District North,17115
Manhattan,West Village,Manhattan-Manhattan,West Village-Marble Hill,29
Manhattan,West Village,Manhattan-Queens,West Village-Springfield Gardens South,17
Manhattan,West Village,Manhattan-Queens,West Village-Long Island City/Hunters Point,2605
Manhattan,West Village,Manhattan-Brooklyn,West Village-Kensington,849
Manhattan,West Village,Manhattan-Manhattan,West Village-Lenox Hill East,8852
Manhattan,West Village,Manhattan-Staten Island,West Village-Eltingville/Annadale/Prince's Bay,8
Manhattan,West Village,Manhattan-Queens,West Village-Cambria Heights,16
Manhattan,West Village,Manhattan-Bronx,West Village-East Tremont,48
Manhattan,West Village,Manhattan-Staten Island,West Village-Oakwood,6
Manhattan,West Village,Manhattan-Staten Island,West Village-Saint George/New Brighton,34
Manhattan,West Village,Manhattan-Bronx,West Village-Co-Op City,41
Manhattan,West Village,Manhattan-Queens,West Village-Queens Village,26
Manhattan,West Village,Manhattan-Manhattan,West Village-Battery Park,1556
Manhattan,West Village,Manhattan-Brooklyn,West Village-Manhattan Beach,50
Manhattan,West Village,Manhattan-Brooklyn,West Village-Prospect Heights,2458
Manhattan,West Village,Manhattan-Staten Island,West Village-Heartland Village/Todt Hill,30
Manhattan,West Village,Manhattan-Brooklyn,West Village-Greenpoint,4550
Manhattan,West Village,Manhattan-Queens,West Village-Murray Hill-Queens,50
Manhattan,West Village,Manhattan-Queens,West Village-Bay Terrace/Fort Totten,19
Manhattan,West Village,Manhattan-Queens,West Village-Springfield Gardens North,18
Manhattan,West Village,Manhattan-Bronx,West Village-Soundview/Bruckner,81
Manhattan,West Village,Manhattan-Queens,West Village-South Ozone Park,128
Manhattan,West Village,Manhattan-Queens,West Village-Steinway,2253
Manhattan,West Village,Manhattan-Brooklyn,West Village-Marine Park/Mill Basin,89
Manhattan,West Village,Manhattan-Queens,West Village-Rosedale,9
Manhattan,West Village,Manhattan-Brooklyn,West Village-Coney Island,88
Manhattan,West Village,Manhattan-Queens,West Village-Elmhurst/Maspeth,324
Manhattan,West Village,Manhattan-Manhattan,West Village-Upper East Side South,15225
Manhattan,West Village,Manhattan-Manhattan,West Village-Central Harlem,3807
Manhattan,West Village,Manhattan-Queens,West Village-Jamaica Estates,73
Manhattan,West Village,Manhattan-Bronx,West Village-Allerton/Pelham Gardens,30
Manhattan,West Village,Manhattan-Staten Island,West Village-Arden Heights,5
Manhattan,West Village,Manhattan-EWR,West Village-Newark Airport,2171
Manhattan,West Village,Manhattan-Queens,West Village-Saint Albans,11
Manhattan,West Village,Manhattan-Manhattan,West Village-Washington Heights North,2142
Manhattan,West Village,Manhattan-Queens,West Village-Richmond Hill,65
Manhattan,West Village,Manhattan-Queens,West Village-Breezy Point/Fort Tilden/Riis Beach,2
Manhattan,West Village,Manhattan-Brooklyn,West Village-Flatlands,161
Manhattan,West Village,Manhattan-Manhattan,West Village-East Harlem North,2639
Manhattan,West Village,Manhattan-Queens,West Village-Astoria Park,12
Manhattan,West Village,Manhattan-Brooklyn,West Village-Sheepshead Bay,127
Manhattan,West Village,Manhattan-Queens,West Village-North Corona,334
Manhattan,West Village,Manhattan-Queens,West Village-Flushing,91
Manhattan,West Village,Manhattan-Manhattan,West Village-Midtown Center,35866
Manhattan,West Village,Manhattan-Queens,West Village-Maspeth,208
Manhattan,West Village,Manhattan-Brooklyn,West Village-South Williamsburg,276
Manhattan,West Village,Manhattan-Brooklyn,West Village-Marine Park/Floyd Bennett Field,1
Manhattan,West Village,Manhattan-Brooklyn,West Village-Bensonhurst West,307
Manhattan,West Village,Manhattan-Bronx,West Village-Hunts Point,69
Manhattan,West Village,Manhattan-Bronx,West Village-Spuyten Duyvil/Kingsbridge,323
Manhattan,West Village,Manhattan-Queens,West Village-Auburndale,30
Manhattan,West Village,Manhattan-Brooklyn,West Village-Bay Ridge,1823
Manhattan,West Village,Manhattan-Staten Island,West Village-Rossville/Woodrow,2
Manhattan,West Village,Manhattan-Bronx,West Village-Pelham Parkway,185
Manhattan,West Village,Manhattan-Queens,West Village-Corona,264
Manhattan,West Village,Manhattan-Staten Island,West Village-Charleston/Tottenville,2
Manhattan,West Village,Manhattan-Bronx,West Village-Melrose South,152
Manhattan,West Village,Manhattan-Manhattan,West Village-Randalls Island,58
Manhattan,West Village,Manhattan-Brooklyn,West Village-Ocean Parkway South,140
Manhattan,West Village,Manhattan-Bronx,West Village-Bronx Park,26
Manhattan,West Village,Manhattan-Queens,West Village-Queensboro Hill,29
Manhattan,West Village,Manhattan-Brooklyn,West Village-Park Slope,7289
Manhattan,West Village,Manhattan-Manhattan,West Village-Times Sq/Theatre District,35207
Manhattan,West Village,Manhattan-Queens,West Village-JFK Airport,6099
Manhattan,West Village,Manhattan-Manhattan,West Village-Roosevelt Island,321
Manhattan,West Village,Manhattan-Queens,West Village-East Flushing,32
Manhattan,West Village,Manhattan-Bronx,West Village-Highbridge,146
Manhattan,West Village,Manhattan-Brooklyn,West Village-Fort Greene,3801
Manhattan,West Village,Manhattan-Manhattan,West Village-Hamilton Heights,3139
Manhattan,West Village,Manhattan-Staten Island,West Village-Bloomfield/Emerson Hill,19
Manhattan,West Village,Manhattan-Manhattan,West Village-World Trade Center,10469
Manhattan,West Village,Manhattan-Bronx,West Village-Kingsbridge Heights,98
Manhattan,West Village,Manhattan-Queens,West Village-Oakland Gardens,39
Manhattan,West Village,Manhattan-Bronx,West Village-Woodlawn/Wakefield,62
Manhattan,West Village,Manhattan-Bronx,West Village-Eastchester,13
Manhattan,West Village,Manhattan-Manhattan,West Village-Bloomingdale,1883
Manhattan,West Village,Manhattan-Manhattan,West Village-SoHo,37163
Manhattan,West Village,Manhattan-Queens,West Village-Briarwood/Jamaica Hills,138
Manhattan,West Village,Manhattan-Brooklyn,West Village-Homecrest,183
Manhattan,West Village,Manhattan-Queens,West Village-Kew Gardens,171
Manhattan,West Village,Manhattan-Brooklyn,West Village-Midwood,252
Manhattan,West Village,Manhattan-Brooklyn,West Village-Williamsburg (North Side),6004
Manhattan,West Village,Manhattan-Manhattan,West Village-Washington Heights South,4139
Manhattan,West Village,Manhattan-Manhattan,West Village-Stuy Town/Peter Cooper Village,7131
Manhattan,West Village,Manhattan-Manhattan,West Village-UN/Turtle Bay South,11607
Manhattan,West Village,Manhattan-Manhattan,West Village-Morningside Heights,3619
Manhattan,West Village,Manhattan-Manhattan,West Village-Yorkville East,6019
Manhattan,West Village,Manhattan-Brooklyn,West Village-Carroll Gardens,2378
Manhattan,West Village,Manhattan-Queens,West Village-South Jamaica,13
Manhattan,West Village,Manhattan-Queens,West Village-Old Astoria,1527
Manhattan,West Village,Manhattan-Manhattan,West Village-Central Harlem North,3082
Manhattan,West Village,Manhattan-Manhattan,West Village-Yorkville West,9406
Manhattan,West Village,Manhattan-Manhattan,West Village-Midtown East,20628
Manhattan,West Village,Manhattan-Manhattan,West Village-Clinton East,37227
Manhattan,West Village,Manhattan-Manhattan,West Village-Inwood,1159
Manhattan,West Village,Manhattan-Brooklyn,West Village-Green-Wood Cemetery,48
Manhattan,West Village,Manhattan-Staten Island,West Village-South Beach/Dongan Hills,15
Manhattan,West Village,Manhattan-Brooklyn,West Village-Prospect Park,503
Manhattan,West Village,Manhattan-Bronx,West Village-Norwood,141
Manhattan,West Village,Manhattan-Manhattan,West Village-Greenwich Village South,36539
Manhattan,West Village,Manhattan-Brooklyn,West Village-Bedford,3857
Manhattan,West Village,Manhattan-Manhattan,West Village-Highbridge Park,52
Manhattan,West Village,Manhattan-Queens,West Village-Glendale,102
Manhattan,West Village,Manhattan-Manhattan,West Village-Murray Hill,43543
Manhattan,West Village,Manhattan-Bronx,West Village-Soundview/Castle Hill,65
Manhattan,West Village,Manhattan-Queens,West Village-Rockaway Park,15
Manhattan,West Village,Manhattan-Bronx,West Village-Crotona Park East,45
Manhattan,West Village,Manhattan-Queens,West Village-East Elmhurst,161
Manhattan,West Village,Manhattan-Queens,West Village-Jackson Heights,1505
Manhattan,West Village,Manhattan-Bronx,West Village-Bronxdale,64
Manhattan,West Village,Manhattan-Brooklyn,West Village-Bath Beach,105
Manhattan,West Village,Manhattan-Manhattan,West Village-Greenwich Village North,48894
Manhattan,West Village,Manhattan-Queens,West Village-Middle Village,255
Manhattan,West Village,Manhattan-Brooklyn,West Village-Borough Park,322
Manhattan,West Village,Manhattan-Queens,West Village-Ridgewood,1058
Manhattan,West Village,Manhattan-Brooklyn,West Village-Brighton Beach,74
Manhattan,West Village,Manhattan-Staten Island,West Village-Arrochar/Fort Wadsworth,24
Manhattan,West Village,Manhattan-Bronx,West Village-Longwood,65
Manhattan,West Village,Manhattan-Bronx,West Village-Bedford Park,161
Manhattan,West Village,Manhattan-Bronx,West Village-City Island,9
Manhattan,West Village,Manhattan-Manhattan,West Village-Lincoln Square West,7927
Manhattan,West Village,Manhattan-Brooklyn,West Village-Bensonhurst East,167
Manhattan,West Village,Manhattan-Queens,West Village-Kew Gardens Hills,74
Manhattan,West Village,Manhattan-Bronx,West Village-Van Cortlandt Village,155
Manhattan,West Village,Manhattan-Brooklyn,West Village-Boerum Hill,3619
Manhattan,West Village,Manhattan-Brooklyn,West Village-Prospect-Lefferts Gardens,2232
Manhattan,West Village,Manhattan-Brooklyn,West Village-Brooklyn Heights,6057
Manhattan,West Village,Manhattan-Queens,West Village-Woodhaven,132
Manhattan,West Village,Manhattan-Manhattan,West Village-West Chelsea/Hudson Yards,41437
Manhattan,West Village,Manhattan-Manhattan,West Village-East Harlem South,4313
Manhattan,West Village,Manhattan-Brooklyn,West Village-Madison,182
Manhattan,West Village,Manhattan-Bronx,West Village-Williamsbridge/Olinville,59
Manhattan,West Village,Manhattan-Queens,West Village-Long Island City/Queens Plaza,768
Manhattan,West Village,Manhattan-Queens,West Village-Baisley Park,38
Manhattan,West Village,Manhattan-Manhattan,West Village-West Village,57118
Manhattan,West Village,Manhattan-Manhattan,West Village-Lincoln Square East,13927
Manhattan,West Village,Manhattan-Bronx,West Village-Schuylerville/Edgewater Park,70
Manhattan,West Village,Manhattan-Queens,West Village-Glen Oaks,8
Manhattan,West Village,Manhattan-Brooklyn,West Village-Crown Heights South,1196
Manhattan,West Village,Manhattan-Manhattan,West Village-Penn Station/Madison Sq West,50894
Manhattan,West Village,Manhattan-Staten Island,West Village-Great Kills,10
Manhattan,West Village,Manhattan-Queens,West Village-Queensbridge/Ravenswood,171
Manhattan,West Village,Manhattan-Manhattan,West Village-TriBeCa/Civic Center,66658
Manhattan,West Village,Manhattan-Manhattan,West Village-Midtown South,33226
Manhattan,West Village,Manhattan-Queens,West Village-Rego Park,282
Manhattan,West Village,Manhattan-Manhattan,West Village-Clinton West,14205
Manhattan,West Village,Manhattan-Queens,West Village-Fresh Meadows,27
Manhattan,West Village,Manhattan-Brooklyn,West Village-East New York,139
Manhattan,West Village,Manhattan-Bronx,West Village-Belmont,96
Manhattan,West Village,Manhattan-Brooklyn,West Village-Ocean Hill,464
Manhattan,Alphabet City,Manhattan-Manhattan,Alphabet City-Lower East Side,11208
Manhattan,Alphabet City,Manhattan-Queens,Alphabet City-Elmhurst,116
Manhattan,Alphabet City,Manhattan-Brooklyn,Alphabet City-Flatbush/Ditmas Park,309
Manhattan,Alphabet City,Manhattan-Queens,Alphabet City-South Ozone Park,27
Manhattan,Alphabet City,Manhattan-Manhattan,Alphabet City-Garment District,1709
Manhattan,Alphabet City,Manhattan-Staten Island,Alphabet City-Westerleigh,1
Manhattan,Alphabet City,Manhattan-Manhattan,Alphabet City-Upper East Side South,1477
Manhattan,Alphabet City,Manhattan-Brooklyn,Alphabet City-Clinton Hill,721
Manhattan,Alphabet City,Manhattan-Brooklyn,Alphabet City-East New York/Pennsylvania Avenue,26
Manhattan,Alphabet City,Manhattan-Brooklyn,Alphabet City-Brooklyn Heights,952
Manhattan,Alphabet City,Manhattan-Bronx,Alphabet City-Williamsbridge/Olinville,25
Manhattan,Alphabet City,Manhattan-Queens,Alphabet City-Bayside,12
Manhattan,Alphabet City,Manhattan-Bronx,Alphabet City-Riverdale/North Riverdale/Fieldston,65
Manhattan,Alphabet City,Manhattan-Manhattan,Alphabet City-Central Harlem North,730
Manhattan,Alphabet City,Manhattan-Queens,Alphabet City-Woodhaven,27
Manhattan,Alphabet City,Manhattan-Manhattan,Alphabet City-Union Sq,7615
Manhattan,Alphabet City,Manhattan-Manhattan,Alphabet City-Washington Heights South,556
Manhattan,Alphabet City,Manhattan-Manhattan,Alphabet City-Sutton Place/Turtle Bay North,2507
Manhattan,Alphabet City,Manhattan-Queens,Alphabet City-Queens Village,1
Manhattan,Alphabet City,Manhattan-Bronx,Alphabet City-Mount Hope,25
Manhattan,Alphabet City,Manhattan-Queens,Alphabet City-College Point,6
Manhattan,Alphabet City,Manhattan-Queens,Alphabet City-JFK Airport,1280
Manhattan,Alphabet City,Manhattan-Queens,Alphabet City-Astoria,926
Manhattan,Alphabet City,Manhattan-Manhattan,Alphabet City-Lenox Hill West,2048
Manhattan,Alphabet City,Manhattan-Brooklyn,Alphabet City-Manhattan Beach,1
Manhattan,Alphabet City,Manhattan-Brooklyn,Alphabet City-Erasmus,25
Manhattan,Alphabet City,Manhattan-Queens,Alphabet City-Rosedale,6
Manhattan,Alphabet City,Manhattan-Manhattan,Alphabet City-Alphabet City,6074
Manhattan,Alphabet City,Manhattan-EWR,Alphabet City-Newark Airport,215
Manhattan,Alphabet City,Manhattan-Brooklyn,Alphabet City-Borough Park,55
Manhattan,Alphabet City,Manhattan-Brooklyn,Alphabet City-Brooklyn Navy Yard,39
Manhattan,Alphabet City,Manhattan-Queens,Alphabet City-Briarwood/Jamaica Hills,25
Manhattan,Alphabet City,Manhattan-Brooklyn,Alphabet City-East Flatbush/Farragut,35
Manhattan,Alphabet City,Manhattan-Queens,Alphabet City-Auburndale,3
Manhattan,Alphabet City,Manhattan-Staten Island,Alphabet City-Heartland Village/Todt Hill,1
Manhattan,Alphabet City,Manhattan-Queens,Alphabet City-Hammels/Arverne,3
