pickup_borough,pickup_zone_name,route_borough,route_zone_name,no_trips
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-Lenox Hill West,2
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-Washington Heights South,54
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-West Chelsea/Hudson Yards,1
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-Upper East Side South,3
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-Inwood,64
Manhattan,Governor's Island/Ellis Island/Liberty Island,Manhattan-Manhattan,Governor's Island/Ellis Island/Liberty Island-Midtown Center,1
Manhattan,Governor's Island/Ellis Island/Liberty Island,Manhattan-Manhattan,Governor's Island/Ellis Island/Liberty Island-East Village,1
Manhattan,Inwood Hill Park,Manhattan-Bronx,Inwood Hill Park-East Tremont,1
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-Flatiron,3
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-Inwood Hill Park,20
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-Alphabet City,2
Manhattan,Inwood Hill Park,Manhattan-Bronx,Inwood Hill Park-Spuyten Duyvil/Kingsbridge,15
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Financial District South,3495
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Gramercy,16308
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Battery Park,608
Manhattan,SoHo,Manhattan-Queens,SoHo-Far Rockaway,6
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Bensonhurst East,60
Manhattan,SoHo,Manhattan-Queens,SoHo-Rockaway Park,12
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Boerum Hill,1691
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Lenox Hill West,4437
Manhattan,SoHo,Manhattan-Bronx,SoHo-Soundview/Bruckner,28
Manhattan,SoHo,Manhattan-Queens,SoHo-Briarwood/Jamaica Hills,43
Manhattan,SoHo,Manhattan-Queens,SoHo-Willets Point,3
Manhattan,SoHo,Manhattan-Queens,SoHo-Jamaica,24
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Sheepshead Bay,50
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Sunset Park East,165
Manhattan,SoHo,Manhattan-Queens,SoHo-Woodhaven,30
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Greenwich Village North,20923
Manhattan,SoHo,Manhattan-Queens,SoHo-Astoria,1216
Manhattan,SoHo,Manhattan-Staten Island,SoHo-Charleston/Tottenville,1
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Hamilton Heights,562
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Ocean Parkway South,36
Manhattan,SoHo,Manhattan-Queens,SoHo-Old Astoria,402
Manhattan,SoHo,Manhattan-Staten Island,SoHo-Westerleigh,12
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Erasmus,112
Manhattan,SoHo,Manhattan-Queens,SoHo-Saint Michaels Cemetery/Woodside,1
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Garment District,7934
Manhattan,SoHo,Manhattan-Queens,SoHo-Queensboro Hill,27
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Meatpacking/West Village West,23494
Manhattan,SoHo,Manhattan-Bronx,SoHo-East Tremont,6
Manhattan,SoHo,Manhattan-Staten Island,SoHo-Arrochar/Fort Wadsworth,13
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Yorkville East,2096
Manhattan,SoHo,Manhattan-Bronx,SoHo-University Heights/Morris Heights,20
Manhattan,SoHo,Manhattan-Queens,SoHo-Rego Park,84
Manhattan,SoHo,Manhattan-Staten Island,SoHo-Great Kills,1
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Clinton East,9282
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Brooklyn Navy Yard,114
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Bath Beach,41
Manhattan,SoHo,Manhattan-Bronx,SoHo-Co-Op City,6
Manhattan,SoHo,Manhattan-Queens,SoHo-JFK Airport,4376
Manhattan,SoHo,Manhattan-Bronx,SoHo-Mott Haven/Port Morris,134
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Gowanus,592
Manhattan,SoHo,Manhattan-Queens,SoHo-Cambria Heights,4
Manhattan,SoHo,Manhattan-Queens,SoHo-Steinway,553
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-East New York/Pennsylvania Avenue,23
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Flatlands,56
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Roosevelt Island,75
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Little Italy/NoLiTa,16369
Manhattan,SoHo,Manhattan-Queens,SoHo-Douglaston,10
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Manhattan Valley,1174
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Alphabet City,5390
Manhattan,SoHo,Manhattan-Bronx,SoHo-City Island,6
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Kensington,221
Manhattan,SoHo,Manhattan-Bronx,SoHo-Van Cortlandt Park,2
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-East Flatbush/Remsen Village,46
Manhattan,SoHo,Manhattan-Queens,SoHo-Ozone Park,17
Manhattan,SoHo,Manhattan-Manhattan,SoHo-West Chelsea/Hudson Yards,13092
Manhattan,SoHo,Manhattan-Staten Island,SoHo-Bloomfield/Emerson Hill,5
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Brighton Beach,37
Manhattan,SoHo,Manhattan-Queens,SoHo-Jackson Heights,514
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Prospect Park,175
Manhattan,SoHo,Manhattan-Bronx,SoHo-Fordham South,8
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Flatiron,17840
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Crown Heights North,1656
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Brooklyn Heights,3419
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Washington Heights South,675
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-East Williamsburg,2277
Manhattan,SoHo,Manhattan-Bronx,SoHo-Spuyten Duyvil/Kingsbridge,74
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Brownsville,46
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Fort Greene,2171
Manhattan,SoHo,Manhattan-Bronx,SoHo-Longwood,10
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Yorkville West,2785
Manhattan,SoHo,Manhattan-Queens,SoHo-Howard Beach,19
Manhattan,SoHo,Manhattan-Bronx,SoHo-Mount Hope,15
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Upper East Side North,4584
Manhattan,SoHo,Manhattan-Queens,SoHo-South Ozone Park,67
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Canarsie,30
Manhattan,SoHo,Manhattan-Queens,SoHo-Glendale,42
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Inwood,197
Manhattan,SoHo,Manhattan-Queens,SoHo-Queensbridge/Ravenswood,41
Manhattan,SoHo,Manhattan-Staten Island,SoHo-Mariners Harbor,3
Manhattan,SoHo,Manhattan-Queens,SoHo-Whitestone,16
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Prospect Heights,1090
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Marine Park/Mill Basin,29
Manhattan,SoHo,Manhattan-Staten Island,SoHo-Saint George/New Brighton,9
Manhattan,SoHo,Manhattan-Bronx,SoHo-Van Cortlandt Village,22
Manhattan,SoHo,Manhattan-Queens,SoHo-Hammels/Arverne,4
Manhattan,SoHo,Manhattan-Queens,SoHo-Sunnyside,595
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Bushwick North,892
Manhattan,SoHo,Manhattan-Bronx,SoHo-Bronx Park,9
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Hudson Sq,7547
Manhattan,SoHo,Manhattan-Bronx,SoHo-Morrisania/Melrose,19
Manhattan,SoHo,Manhattan-Queens,SoHo-LaGuardia Airport,3943
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Greenpoint,2686
Manhattan,SoHo,Manhattan-Bronx,SoHo-Kingsbridge Heights,23
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Midtown Center,14731
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Homecrest,72
Manhattan,SoHo,Manhattan-Bronx,SoHo-Hunts Point,18
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Central Harlem North,770
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Stuyvesant Heights,1085
Manhattan,SoHo,Manhattan-Queens,SoHo-Bellerose,2
Manhattan,SoHo,Manhattan-Bronx,SoHo-Soundview/Castle Hill,20
Manhattan,SoHo,Manhattan-Queens,SoHo-Maspeth,76
