pickup_borough,pickup_date,pickup_weekday_name,pickup_hour,no_of_trips
EWR,19/1/16,Tuesday,16,7
Staten Island,7/3/16,Monday,18,1
Bronx,12/2/16,Friday,23,31
Bronx,12/6/16,Sunday,19,3
Bronx,2/4/16,Saturday,5,24
EWR,22/3/16,Tuesday,17,3
Bronx,28/2/16,Sunday,22,24
Bronx,20/5/16,Friday,5,15
Staten Island,22/6/16,Wednesday,3,1
Bronx,27/5/16,Friday,3,15
Bronx,24/4/16,Sunday,4,49
Bronx,24/4/16,Sunday,23,24
Bronx,25/1/16,Monday,16,9
Bronx,30/6/16,Thursday,18,17
EWR,9/2/16,Tuesday,18,1
Bronx,6/1/16,Wednesday,0,10
EWR,3/1/16,Sunday,5,1
Staten Island,19/5/16,Thursday,12,1
EWR,28/4/16,Thursday,15,7
Bronx,14/3/16,Monday,21,12
EWR,19/6/16,Sunday,4,2
Staten Island,1/1/16,Friday,3,3
Bronx,19/6/16,Sunday,22,28
Bronx,15/6/16,Wednesday,6,9
Bronx,11/1/16,Monday,5,9
EWR,25/4/16,Monday,14,1
Bronx,9/4/16,Saturday,2,20
EWR,14/1/16,Thursday,11,1
Bronx,29/3/16,Tuesday,7,14
Bronx,11/5/16,Wednesday,4,4
Bronx,12/6/16,Sunday,21,26
Bronx,22/2/16,Monday,7,23
EWR,11/2/16,Thursday,12,1
Bronx,20/1/16,Wednesday,18,15
Bronx,24/5/16,Tuesday,18,14
EWR,29/6/16,Wednesday,11,1
EWR,11/2/16,Thursday,13,1
Staten Island,20/4/16,Wednesday,12,3
EWR,17/3/16,Thursday,18,2
EWR,20/6/16,Monday,5,2
EWR,17/4/16,Sunday,20,2
Staten Island,8/3/16,Tuesday,13,1
Bronx,5/5/16,Thursday,22,15
Bronx,6/5/16,Friday,16,13
Bronx,9/1/16,Saturday,10,10
Bronx,22/6/16,Wednesday,6,11
Staten Island,22/6/16,Wednesday,16,2
EWR,21/2/16,Sunday,4,2
Bronx,6/6/16,Monday,21,24
Bronx,31/3/16,Thursday,5,9
EWR,19/2/16,Friday,18,1
EWR,13/3/16,Sunday,4,1
Bronx,22/6/16,Wednesday,22,8
Bronx,11/5/16,Wednesday,5,11
Bronx,8/4/16,Friday,3,8
EWR,1/6/16,Wednesday,20,1
EWR,29/5/16,Sunday,7,1
EWR,22/4/16,Friday,20,2
Bronx,23/2/16,Tuesday,12,8
EWR,24/1/16,Sunday,12,2
Staten Island,4/2/16,Thursday,19,2
Bronx,24/2/16,Wednesday,4,9
Bronx,23/6/16,Thursday,22,11
EWR,14/4/16,Thursday,11,2
Bronx,1/4/16,Friday,17,21
Bronx,26/4/16,Tuesday,8,8
EWR,28/6/16,Tuesday,5,2
Bronx,17/2/16,Wednesday,3,8
EWR,4/2/16,Thursday,16,4
Bronx,8/5/16,Sunday,5,17
Bronx,29/5/16,Sunday,10,16
Bronx,5/3/16,Saturday,16,11
EWR,13/5/16,Friday,16,2
Bronx,3/2/16,Wednesday,3,4
EWR,30/6/16,Thursday,12,2
Staten Island,5/2/16,Friday,0,3
EWR,30/4/16,Saturday,11,3
Staten Island,23/6/16,Thursday,14,3
Bronx,27/2/16,Saturday,13,9
EWR,21/6/16,Tuesday,13,2
Staten Island,3/1/16,Sunday,4,3
Staten Island,14/6/16,Tuesday,6,1
Bronx,21/1/16,Thursday,7,13
EWR,23/2/16,Tuesday,16,3
Bronx,5/4/16,Tuesday,11,11
EWR,3/4/16,Sunday,12,1
Bronx,5/2/16,Friday,6,15
Bronx,2/2/16,Tuesday,12,6
EWR,14/4/16,Thursday,14,3
Bronx,20/5/16,Friday,4,14
Bronx,22/5/16,Sunday,9,11
Bronx,19/1/16,Tuesday,23,9
Bronx,23/6/16,Thursday,6,13
Bronx,3/1/16,Sunday,22,6
Staten Island,2/3/16,Wednesday,6,1
EWR,18/1/16,Monday,4,1
EWR,13/5/16,Friday,14,4
Bronx,19/2/16,Friday,6,8
Bronx,3/6/16,Friday,14,13
Bronx,1/2/16,Monday,21,6
Staten Island,22/6/16,Wednesday,10,2
Bronx,16/1/16,Saturday,13,15
EWR,21/4/16,Thursday,18,4
Bronx,28/3/16,Monday,7,15
Bronx,3/5/16,Tuesday,2,8
EWR,30/6/16,Thursday,20,1
EWR,19/1/16,Tuesday,18,2
EWR,17/3/16,Thursday,19,1
Staten Island,14/5/16,Saturday,10,4
Staten Island,4/6/16,Saturday,20,3
Staten Island,20/4/16,Wednesday,13,2
Staten Island,18/3/16,Friday,6,2
Bronx,3/3/16,Thursday,2,12
EWR,25/4/16,Monday,15,2
Bronx,9/3/16,Wednesday,15,9
Bronx,3/4/16,Sunday,1,32
EWR,3/5/16,Tuesday,16,2
Bronx,6/5/16,Friday,10,13
Bronx,8/5/16,Sunday,21,21
Staten Island,16/2/16,Tuesday,9,2
Bronx,26/4/16,Tuesday,3,12
Bronx,21/4/16,Thursday,3,13
EWR,14/3/16,Monday,15,7
EWR,9/2/16,Tuesday,17,3
EWR,6/2/16,Saturday,7,1
Bronx,24/4/16,Sunday,21,20
Bronx,10/6/16,Friday,6,6
Bronx,27/5/16,Friday,11,9
Staten Island,7/4/16,Thursday,1,2
Staten Island,16/3/16,Wednesday,7,3
Bronx,19/3/16,Saturday,15,13
