pickup_borough,pickup_date,pickup_weekday_name,pickup_hour,no_of_trips
Bronx,17/3/16,Thursday,13,9
EWR,9/6/16,Thursday,16,2
Bronx,30/5/16,Monday,22,17
Staten Island,14/4/16,Thursday,18,2
Bronx,5/1/16,Tuesday,6,11
Staten Island,9/2/16,Tuesday,16,2
EWR,13/4/16,Wednesday,12,1
Bronx,14/3/16,Monday,2,6
Bronx,9/6/16,Thursday,9,26
EWR,28/3/16,Monday,17,1
EWR,19/2/16,Friday,14,2
Bronx,21/4/16,Thursday,12,9
EWR,13/6/16,Monday,5,5
EWR,8/1/16,Friday,21,1
Staten Island,15/2/16,Monday,11,1
EWR,7/6/16,Tuesday,4,1
Bronx,11/3/16,Friday,16,17
Bronx,12/3/16,Saturday,20,13
Bronx,4/1/16,Monday,22,11
Staten Island,20/4/16,Wednesday,16,1
EWR,12/6/16,Sunday,19,1
Bronx,12/3/16,Saturday,17,12
Staten Island,16/5/16,Monday,12,2
Bronx,29/3/16,Tuesday,11,9
Bronx,16/3/16,Wednesday,22,8
Bronx,11/6/16,Saturday,19,19
Bronx,25/1/16,Monday,9,15
Bronx,10/4/16,Sunday,2,28
Staten Island,28/3/16,Monday,15,2
EWR,22/4/16,Friday,4,2
Staten Island,13/4/16,Wednesday,18,3
Bronx,1/3/16,Tuesday,22,11
Bronx,29/6/16,Wednesday,19,7
Bronx,10/1/16,Sunday,19,7
Bronx,16/2/16,Tuesday,20,10
Staten Island,31/1/16,Sunday,2,2
EWR,2/6/16,Thursday,18,2
Staten Island,16/6/16,Thursday,0,2
Bronx,19/5/16,Thursday,7,12
EWR,15/6/16,Wednesday,14,1
Bronx,21/4/16,Thursday,6,20
Bronx,25/6/16,Saturday,22,17
Bronx,11/2/16,Thursday,5,9
Bronx,11/3/16,Friday,6,16
Bronx,21/1/16,Thursday,20,11
Bronx,11/1/16,Monday,14,1
Bronx,18/2/16,Thursday,4,12
Bronx,23/3/16,Wednesday,18,15
Bronx,12/2/16,Friday,20,13
Bronx,19/1/16,Tuesday,10,8
EWR,28/1/16,Thursday,15,3
Bronx,15/2/16,Monday,0,15
Bronx,30/1/16,Saturday,21,7
Bronx,12/6/16,Sunday,4,25
EWR,7/5/16,Saturday,23,1
Bronx,20/6/16,Monday,12,7
EWR,22/4/16,Friday,9,1
Bronx,21/3/16,Monday,12,8
EWR,6/4/16,Wednesday,16,3
Bronx,5/2/16,Friday,16,11
Bronx,24/2/16,Wednesday,14,13
Bronx,5/3/16,Saturday,20,16
Staten Island,2/3/16,Wednesday,22,1
Staten Island,29/2/16,Monday,6,1
EWR,30/3/16,Wednesday,20,2
Bronx,17/1/16,Sunday,0,20
Bronx,14/5/16,Saturday,23,14
Bronx,21/4/16,Thursday,9,13
Staten Island,23/6/16,Thursday,19,5
Bronx,18/5/16,Wednesday,1,7
EWR,23/4/16,Saturday,9,1
EWR,27/3/16,Sunday,15,1
Bronx,21/5/16,Saturday,18,27
EWR,15/5/16,Sunday,16,3
Bronx,26/1/16,Tuesday,12,5
Bronx,7/5/16,Saturday,21,24
Bronx,5/6/16,Sunday,16,16
Bronx,5/5/16,Thursday,18,9
Staten Island,14/4/16,Thursday,20,4
Bronx,15/1/16,Friday,18,11
Bronx,3/5/16,Tuesday,18,7
Bronx,24/3/16,Thursday,5,8
EWR,10/1/16,Sunday,20,1
Bronx,19/3/16,Saturday,22,20
EWR,16/3/16,Wednesday,18,1
Staten Island,16/5/16,Monday,17,2
EWR,14/3/16,Monday,12,2
Bronx,22/6/16,Wednesday,20,13
Staten Island,13/4/16,Wednesday,8,4
Bronx,24/5/16,Tuesday,22,10
Bronx,4/3/16,Friday,18,21
Bronx,26/6/16,Sunday,1,23
Bronx,16/6/16,Thursday,17,8
Staten Island,26/5/16,Thursday,8,2
Staten Island,21/2/16,Sunday,15,1
EWR,21/5/16,Saturday,9,2
EWR,4/4/16,Monday,6,1
Bronx,3/3/16,Thursday,18,14
Bronx,9/4/16,Saturday,15,9
EWR,14/4/16,Thursday,19,8
Staten Island,6/2/16,Saturday,6,1
Bronx,9/6/16,Thursday,14,5
Bronx,10/2/16,Wednesday,21,11
Bronx,13/6/16,Monday,4,14
Staten Island,6/6/16,Monday,13,6
Bronx,13/3/16,Sunday,19,21
Bronx,28/3/16,Monday,6,15
Bronx,25/5/16,Wednesday,17,20
EWR,19/3/16,Saturday,6,4
Bronx,15/3/16,Tuesday,21,3
Bronx,23/6/16,Thursday,7,12
Bronx,6/4/16,Wednesday,4,8
Bronx,8/5/16,Sunday,3,31
Bronx,26/4/16,Tuesday,7,9
Bronx,14/5/16,Saturday,21,10
EWR,10/6/16,Friday,4,2
Bronx,22/5/16,Sunday,7,13
Bronx,21/6/16,Tuesday,3,6
Bronx,27/3/16,Sunday,7,10
Staten Island,7/6/16,Tuesday,0,1
Staten Island,24/3/16,Thursday,6,1
Bronx,6/3/16,Sunday,20,14
Bronx,11/6/16,Saturday,13,13
Bronx,28/6/16,Tuesday,3,18
Bronx,28/4/16,Thursday,16,10
Bronx,4/2/16,Thursday,20,14
EWR,30/3/16,Wednesday,18,3
Staten Island,22/2/16,Monday,13,1
EWR,26/3/16,Saturday,11,2
Staten Island,18/6/16,Saturday,18,2
EWR,18/1/16,Monday,16,1
Bronx,20/2/16,Saturday,5,17
Staten Island,2/4/16,Saturday,18,4
EWR,23/4/16,Saturday,21,2
Bronx,17/2/16,Wednesday,16,12
EWR,2/2/16,Tuesday,15,2
Bronx,19/3/16,Saturday,21,18
Staten Island,4/5/16,Wednesday,12,2
Bronx,1/4/16,Friday,10,7
Bronx,25/1/16,Monday,20,8
Staten Island,10/6/16,Friday,6,1
EWR,23/5/16,Monday,13,4
EWR,1/4/16,Friday,2,1
Staten Island,28/3/16,Monday,11,2
Bronx,26/5/16,Thursday,22,13
Staten Island,27/2/16,Saturday,9,3
EWR,26/1/16,Tuesday,4,1
EWR,29/5/16,Sunday,15,2
EWR,10/3/16,Thursday,22,1
Bronx,3/4/16,Sunday,22,11
EWR,28/2/16,Sunday,15,4
Bronx,19/5/16,Thursday,8,7
Bronx,26/4/16,Tuesday,16,6
Bronx,2/1/16,Saturday,22,7
Staten Island,9/2/16,Tuesday,14,1
Staten Island,15/3/16,Tuesday,7,1
Staten Island,24/4/16,Sunday,4,1
Staten Island,9/5/16,Monday,22,1
EWR,28/1/16,Thursday,18,1
Bronx,5/2/16,Friday,19,14
EWR,17/6/16,Friday,4,4
Bronx,9/5/16,Monday,17,17
Bronx,29/5/16,Sunday,0,27
EWR,25/6/16,Saturday,14,3
Bronx,5/6/16,Sunday,8,17
Bronx,2/3/16,Wednesday,22,13
Staten Island,21/6/16,Tuesday,15,2
EWR,25/4/16,Monday,21,1
EWR,9/6/16,Thursday,20,2
Staten Island,28/3/16,Monday,16,1
EWR,8/4/16,Friday,13,1
Bronx,12/1/16,Tuesday,14,4
Bronx,25/6/16,Saturday,13,16
Bronx,26/2/16,Friday,16,10
Bronx,30/1/16,Saturday,9,7
Bronx,1/3/16,Tuesday,2,7
Staten Island,7/1/16,Thursday,23,1
Bronx,2/1/16,Saturday,20,8
Staten Island,12/3/16,Saturday,11,1
Bronx,8/2/16,Monday,18,5
Bronx,19/4/16,Tuesday,20,12
Bronx,21/6/16,Tuesday,4,5
Bronx,28/1/16,Thursday,18,14
Bronx,14/3/16,Monday,16,17
Staten Island,14/3/16,Monday,2,1
Bronx,9/3/16,Wednesday,3,8
EWR,11/3/16,Friday,19,1
Staten Island,13/4/16,Wednesday,10,1
EWR,30/5/16,Monday,6,1
Bronx,28/1/16,Thursday,4,7
EWR,30/6/16,Thursday,17,1
Bronx,3/5/16,Tuesday,0,14
EWR,24/5/16,Tuesday,17,5
Bronx,31/1/16,Sunday,14,7
Staten Island,27/5/16,Friday,16,1
Staten Island,21/5/16,Saturday,6,1
Bronx,10/3/16,Thursday,8,18
Bronx,16/1/16,Saturday,14,11
EWR,11/5/16,Wednesday,5,2
Staten Island,17/4/16,Sunday,4,2
Bronx,16/3/16,Wednesday,16,7
Staten Island,2/4/16,Saturday,22,3
Bronx,22/5/16,Sunday,16,16
Staten Island,14/6/16,Tuesday,22,1
Bronx,5/2/16,Friday,4,8
Bronx,11/4/16,Monday,10,11
EWR,5/3/16,Saturday,20,1
Bronx,7/5/16,Saturday,5,23
Staten Island,1/3/16,Tuesday,13,2
Bronx,29/5/16,Sunday,20,5
Bronx,8/6/16,Wednesday,21,19
Bronx,16/4/16,Saturday,20,14
EWR,5/5/16,Thursday,15,1
EWR,13/2/16,Saturday,13,1
Bronx,6/1/16,Wednesday,1,5
Bronx,19/4/16,Tuesday,18,16
Bronx,6/3/16,Sunday,21,12
EWR,8/2/16,Monday,21,1
EWR,12/2/16,Friday,13,1
Bronx,6/2/16,Saturday,21,12
Bronx,23/6/16,Thursday,10,13
Bronx,16/6/16,Thursday,19,4
Bronx,10/5/16,Tuesday,12,8
Bronx,25/2/16,Thursday,21,15
EWR,19/5/16,Thursday,9,1
Bronx,3/4/16,Sunday,2,29
Bronx,7/2/16,Sunday,7,4
EWR,9/1/16,Saturday,13,2
Bronx,9/2/16,Tuesday,19,3
Staten Island,14/3/16,Monday,12,1
EWR,16/2/16,Tuesday,15,2
Bronx,19/6/16,Sunday,2,23
Bronx,18/4/16,Monday,18,7
EWR,1/1/16,Friday,15,4
EWR,24/1/16,Sunday,19,1
Bronx,7/4/16,Thursday,14,7
Bronx,13/2/16,Saturday,5,13
EWR,22/3/16,Tuesday,19,2
Bronx,18/2/16,Thursday,1,14
Bronx,26/3/16,Saturday,5,13
EWR,22/5/16,Sunday,4,1
EWR,15/6/16,Wednesday,16,2
Staten Island,4/3/16,Friday,5,1
Bronx,1/4/16,Friday,22,10
Bronx,2/4/16,Saturday,10,17
EWR,3/2/16,Wednesday,13,2
Bronx,31/1/16,Sunday,19,9
EWR,5/6/16,Sunday,15,1
Staten Island,29/4/16,Friday,20,2
Bronx,23/4/16,Saturday,14,17
Bronx,1/5/16,Sunday,3,24
Staten Island,1/6/16,Wednesday,8,2
Bronx,10/6/16,Friday,23,11
EWR,26/6/16,Sunday,5,1
EWR,15/1/16,Friday,19,1
Staten Island,7/4/16,Thursday,13,1
Bronx,26/5/16,Thursday,13,10
Staten Island,4/4/16,Monday,10,2
Bronx,7/6/16,Tuesday,4,8
EWR,29/2/16,Monday,13,1
Bronx,29/3/16,Tuesday,20,9
Bronx,30/4/16,Saturday,16,11
Bronx,18/1/16,Monday,19,9
Bronx,4/6/16,Saturday,7,15
Bronx,15/1/16,Friday,8,20
EWR,27/4/16,Wednesday,16,1
EWR,6/4/16,Wednesday,6,3
Bronx,15/4/16,Friday,1,11
Bronx,14/6/16,Tuesday,14,14
Bronx,7/5/16,Saturday,19,13
Bronx,12/4/16,Tuesday,6,4
EWR,18/6/16,Saturday,13,1
Bronx,5/5/16,Thursday,21,6
Bronx,16/2/16,Tuesday,9,10
Bronx,2/5/16,Monday,8,15
Bronx,6/4/16,Wednesday,0,11
Bronx,14/1/16,Thursday,4,10
EWR,5/2/16,Friday,10,3
Staten Island,13/6/16,Monday,9,2
Bronx,12/3/16,Saturday,21,19
EWR,12/2/16,Friday,7,3
Bronx,13/5/16,Friday,14,13
Bronx,7/3/16,Monday,14,17
Bronx,6/3/16,Sunday,11,14
Bronx,31/5/16,Tuesday,21,10
EWR,21/4/16,Thursday,13,2
Staten Island,11/3/16,Friday,9,4
Bronx,23/4/16,Saturday,15,7
Bronx,16/5/16,Monday,4,13
Staten Island,9/5/16,Monday,9,1
Staten Island,30/4/16,Saturday,7,1
Bronx,8/5/16,Sunday,6,12
Staten Island,24/3/16,Thursday,15,5
Bronx,10/6/16,Friday,2,13
Bronx,18/1/16,Monday,14,3
Staten Island,31/3/16,Thursday,9,1
Bronx,14/3/16,Monday,20,14
EWR,4/2/16,Thursday,18,1
Staten Island,6/6/16,Monday,10,1
Bronx,11/1/16,Monday,9,6
Staten Island,8/4/16,Friday,21,2
Bronx,7/2/16,Sunday,11,8
Bronx,19/2/16,Friday,1,14
Bronx,12/3/16,Saturday,3,20
Bronx,24/4/16,Sunday,3,24
Bronx,26/4/16,Tuesday,10,8
Bronx,13/5/16,Friday,6,16
Bronx,5/4/16,Tuesday,3,4
Bronx,24/1/16,Sunday,11,12
Bronx,2/3/16,Wednesday,18,18
Staten Island,29/4/16,Friday,23,1
Staten Island,20/4/16,Wednesday,8,1
EWR,2/4/16,Saturday,14,2
Bronx,26/3/16,Saturday,17,36
Bronx,25/2/16,Thursday,22,18
EWR,14/6/16,Tuesday,12,2
Bronx,17/1/16,Sunday,18,14
Staten Island,31/3/16,Thursday,17,4
Bronx,3/6/16,Friday,2,8
EWR,18/4/16,Monday,17,2
Staten Island,4/2/16,Thursday,11,4
EWR,21/3/16,Monday,12,1
Bronx,2/1/16,Saturday,17,6
Staten Island,13/5/16,Friday,3,1
Bronx,23/3/16,Wednesday,15,5
Staten Island,10/5/16,Tuesday,2,1
Bronx,12/3/16,Saturday,18,15
Bronx,19/3/16,Saturday,11,9
Staten Island,20/5/16,Friday,1,2
Bronx,28/4/16,Thursday,12,6
Bronx,13/4/16,Wednesday,7,25
EWR,15/5/16,Sunday,13,2
Staten Island,4/5/16,Wednesday,8,1
Bronx,10/6/16,Friday,1,10
Bronx,4/1/16,Monday,4,6
Bronx,22/6/16,Wednesday,14,16
Bronx,11/2/16,Thursday,21,15
EWR,28/1/16,Thursday,13,1
EWR,25/6/16,Saturday,2,1
EWR,21/2/16,Sunday,20,2
EWR,9/5/16,Monday,17,1
Bronx,29/6/16,Wednesday,4,5
Staten Island,31/3/16,Thursday,19,2
Bronx,21/6/16,Tuesday,7,8
Bronx,15/1/16,Friday,11,10
EWR,28/5/16,Saturday,4,1
EWR,5/2/16,Friday,20,1
EWR,22/1/16,Friday,22,1
EWR,26/2/16,Friday,15,3
Bronx,8/3/16,Tuesday,10,10
EWR,1/4/16,Friday,20,1
EWR,13/2/16,Saturday,15,1
EWR,9/6/16,Thursday,19,4
EWR,16/4/16,Saturday,11,1
EWR,6/6/16,Monday,10,2
Bronx,18/4/16,Monday,15,6
Bronx,6/6/16,Monday,6,9
Bronx,22/5/16,Sunday,19,8
Staten Island,24/3/16,Thursday,14,2
Bronx,31/1/16,Sunday,16,5
Staten Island,13/4/16,Wednesday,14,1
EWR,22/5/16,Sunday,15,4
Bronx,20/2/16,Saturday,23,18
Bronx,7/6/16,Tuesday,2,13
Bronx,20/2/16,Saturday,11,7
Bronx,29/6/16,Wednesday,20,4
Bronx,14/1/16,Thursday,16,9
Bronx,12/6/16,Sunday,13,14
Staten Island,29/1/16,Friday,7,2
Bronx,23/5/16,Monday,4,10
EWR,4/6/16,Saturday,6,4
EWR,24/3/16,Thursday,15,3
Bronx,7/3/16,Monday,0,19
Bronx,23/3/16,Wednesday,12,15
EWR,15/5/16,Sunday,12,7
Bronx,13/5/16,Friday,5,12
EWR,17/2/16,Wednesday,16,1
Bronx,12/3/16,Saturday,16,14
Bronx,1/2/16,Monday,0,15
Bronx,2/5/16,Monday,4,10
EWR,18/4/16,Monday,6,1
Bronx,5/2/16,Friday,18,16
Bronx,23/6/16,Thursday,4,11
Bronx,15/6/16,Wednesday,23,11
Bronx,30/3/16,Wednesday,0,7
Bronx,24/5/16,Tuesday,0,8
EWR,4/5/16,Wednesday,6,2
Bronx,8/3/16,Tuesday,8,11
Bronx,17/2/16,Wednesday,2,11
EWR,5/5/16,Thursday,20,2
Staten Island,7/1/16,Thursday,16,1
EWR,5/1/16,Tuesday,19,1
Bronx,23/5/16,Monday,11,7
Bronx,8/6/16,Wednesday,8,17
Bronx,26/6/16,Sunday,9,11
Bronx,25/1/16,Monday,12,10
Staten Island,20/4/16,Wednesday,20,4
Staten Island,23/6/16,Thursday,13,1
Bronx,19/4/16,Tuesday,0,10
Bronx,9/3/16,Wednesday,19,16
Bronx,5/1/16,Tuesday,5,6
Bronx,21/4/16,Thursday,13,8
Bronx,20/2/16,Saturday,19,15
Bronx,8/4/16,Friday,18,16
Bronx,27/2/16,Saturday,18,22
EWR,20/1/16,Wednesday,14,2
Bronx,1/5/16,Sunday,10,14
Staten Island,29/5/16,Sunday,3,1
Bronx,6/2/16,Saturday,18,13
EWR,20/1/16,Wednesday,13,3
EWR,10/2/16,Wednesday,4,1
EWR,28/3/16,Monday,5,1
Bronx,22/2/16,Monday,11,11
EWR,26/2/16,Friday,5,1
Bronx,8/6/16,Wednesday,9,8
Staten Island,27/4/16,Wednesday,0,2
EWR,29/3/16,Tuesday,10,3
Staten Island,5/6/16,Sunday,4,1
Bronx,8/6/16,Wednesday,4,9
Bronx,23/6/16,Thursday,9,6
Bronx,1/2/16,Monday,3,3
Bronx,8/6/16,Wednesday,3,5
Bronx,14/1/16,Thursday,0,12
Bronx,18/1/16,Monday,12,6
Bronx,6/6/16,Monday,19,16
Bronx,22/4/16,Friday,0,10
Bronx,11/4/16,Monday,15,7
Bronx,14/4/16,Thursday,11,2
Staten Island,29/4/16,Friday,4,1
Bronx,30/4/16,Saturday,15,11
Bronx,4/5/16,Wednesday,6,12
EWR,20/2/16,Saturday,4,2
Bronx,21/1/16,Thursday,17,10
Bronx,11/5/16,Wednesday,21,7
EWR,14/5/16,Saturday,17,1
Bronx,18/2/16,Thursday,17,14
EWR,19/2/16,Friday,15,4
EWR,6/2/16,Saturday,13,1
Staten Island,2/3/16,Wednesday,5,1
Bronx,5/1/16,Tuesday,10,4
Staten Island,5/1/16,Tuesday,3,1
Bronx,21/6/16,Tuesday,19,9
Bronx,12/2/16,Friday,2,9
Bronx,6/4/16,Wednesday,3,8
Bronx,5/1/16,Tuesday,18,6
Bronx,16/1/16,Saturday,10,10
EWR,23/6/16,Thursday,15,2
EWR,27/6/16,Monday,5,1
Bronx,1/3/16,Tuesday,18,21
Bronx,14/5/16,Saturday,5,21
Bronx,21/6/16,Tuesday,13,6
EWR,24/4/16,Sunday,2,1
Bronx,9/1/16,Saturday,5,11
Bronx,12/4/16,Tuesday,22,12
EWR,9/6/16,Thursday,7,4
EWR,8/4/16,Friday,5,5
Bronx,5/3/16,Saturday,4,43
Bronx,16/1/16,Saturday,3,23
Bronx,15/5/16,Sunday,8,9
Bronx,8/1/16,Friday,13,7
Bronx,14/4/16,Thursday,20,13
Bronx,26/3/16,Saturday,15,8
EWR,26/1/16,Tuesday,6,2
Bronx,12/5/16,Thursday,8,11
Bronx,3/5/16,Tuesday,20,7
EWR,22/3/16,Tuesday,12,3
Bronx,4/3/16,Friday,14,17
EWR,14/5/16,Saturday,9,2
Bronx,9/2/16,Tuesday,23,6
EWR,4/1/16,Monday,14,1
Bronx,15/4/16,Friday,15,19
Bronx,29/2/16,Monday,18,19
Bronx,21/6/16,Tuesday,23,9
Staten Island,9/3/16,Wednesday,12,2
Bronx,24/6/16,Friday,14,14
Bronx,23/1/16,Saturday,10,8
Staten Island,25/2/16,Thursday,1,1
Bronx,25/3/16,Friday,13,12
EWR,3/6/16,Friday,17,1
EWR,26/3/16,Saturday,23,1
EWR,19/3/16,Saturday,10,1
Staten Island,5/3/16,Saturday,2,2
Bronx,22/4/16,Friday,23,16
Bronx,14/4/16,Thursday,0,6
EWR,23/6/16,Thursday,14,5
Staten Island,9/3/16,Wednesday,9,2
Bronx,10/2/16,Wednesday,1,6
Bronx,12/1/16,Tuesday,5,4
EWR,13/2/16,Saturday,10,1
Bronx,23/5/16,Monday,18,13
EWR,11/1/16,Monday,6,1
Bronx,7/6/16,Tuesday,15,7
Bronx,31/3/16,Thursday,17,15
EWR,10/2/16,Wednesday,15,4
Staten Island,13/3/16,Sunday,5,1
Bronx,24/6/16,Friday,17,21
Staten Island,31/1/16,Sunday,3,1
Staten Island,18/2/16,Thursday,6,2
Bronx,9/4/16,Saturday,7,17
Bronx,31/1/16,Sunday,18,8
Staten Island,23/5/16,Monday,19,1
EWR,9/1/16,Saturday,20,1
Staten Island,7/4/16,Thursday,11,1
Bronx,7/4/16,Thursday,17,18
Bronx,2/4/16,Saturday,15,14
Bronx,27/1/16,Wednesday,1,14
Staten Island,26/5/16,Thursday,18,4
Staten Island,11/5/16,Wednesday,20,1
EWR,10/1/16,Sunday,15,1
Bronx,11/6/16,Saturday,20,5
Bronx,2/5/16,Monday,11,6
Bronx,26/6/16,Sunday,11,16
Bronx,1/2/16,Monday,18,27
Staten Island,15/6/16,Wednesday,22,2
Staten Island,7/1/16,Thursday,21,1
Staten Island,27/5/16,Friday,7,3
EWR,10/4/16,Sunday,18,4
Staten Island,4/2/16,Thursday,15,5
EWR,29/2/16,Monday,12,3
Staten Island,8/1/16,Friday,0,1
Staten Island,29/5/16,Sunday,2,1
Bronx,27/2/16,Saturday,23,28
Bronx,13/1/16,Wednesday,7,20
Bronx,23/5/16,Monday,20,1
Bronx,22/3/16,Tuesday,22,6
Bronx,26/3/16,Saturday,11,5
Bronx,8/4/16,Friday,9,13
Bronx,24/6/16,Friday,13,9
EWR,17/3/16,Thursday,17,3
Bronx,20/1/16,Wednesday,22,9
Staten Island,29/3/16,Tuesday,11,1
Bronx,24/1/16,Sunday,18,18
Bronx,4/3/16,Friday,12,14
Bronx,28/1/16,Thursday,10,3
Bronx,2/1/16,Saturday,2,13
Bronx,1/2/16,Monday,23,12
EWR,1/4/16,Friday,8,3
Staten Island,22/4/16,Friday,23,3
Bronx,9/5/16,Monday,4,11
EWR,12/3/16,Saturday,15,9
Staten Island,17/5/16,Tuesday,6,4
Bronx,18/1/16,Monday,0,8
Bronx,27/5/16,Friday,0,20
Staten Island,3/6/16,Friday,23,2
EWR,22/2/16,Monday,1,1
Staten Island,5/3/16,Saturday,19,4
Bronx,7/5/16,Saturday,8,12
Staten Island,22/4/16,Friday,17,1
Bronx,18/5/16,Wednesday,9,23
Staten Island,19/4/16,Tuesday,7,2
Bronx,17/3/16,Thursday,18,20
Staten Island,14/2/16,Sunday,18,1
Bronx,13/6/16,Monday,10,5
Bronx,20/2/16,Saturday,17,15
Bronx,14/3/16,Monday,8,33
Bronx,18/5/16,Wednesday,5,6
Bronx,7/5/16,Saturday,3,26
Bronx,20/5/16,Friday,15,11
Bronx,12/6/16,Sunday,1,19
Bronx,29/1/16,Friday,18,25
Bronx,20/5/16,Friday,20,16
EWR,14/5/16,Saturday,10,1
Bronx,11/1/16,Monday,8,8
EWR,4/4/16,Monday,4,1
Bronx,3/5/16,Tuesday,22,12
Bronx,7/2/16,Sunday,0,21
Staten Island,11/3/16,Friday,15,3
Bronx,13/6/16,Monday,19,7
Bronx,24/5/16,Tuesday,16,13
Bronx,8/5/16,Sunday,1,25
Bronx,27/6/16,Monday,1,16
Bronx,14/5/16,Saturday,3,12
Staten Island,11/3/16,Friday,7,2
EWR,29/6/16,Wednesday,6,4
Staten Island,13/6/16,Monday,15,1
Staten Island,24/3/16,Thursday,11,2
EWR,31/3/16,Thursday,8,2
Bronx,20/6/16,Monday,7,19
Bronx,25/3/16,Friday,5,11
Bronx,18/4/16,Monday,5,7
Bronx,17/1/16,Sunday,19,7
EWR,1/3/16,Tuesday,15,3
EWR,7/3/16,Monday,15,4
Bronx,18/6/16,Saturday,21,17
Bronx,11/6/16,Saturday,12,12
EWR,7/3/16,Monday,6,1
Bronx,26/5/16,Thursday,23,13
EWR,25/2/16,Thursday,17,2
Bronx,18/5/16,Wednesday,10,16
Bronx,27/4/16,Wednesday,11,7
EWR,15/2/16,Monday,7,2
EWR,6/3/16,Sunday,5,5
Bronx,20/1/16,Wednesday,0,5
Bronx,21/2/16,Sunday,12,13
EWR,23/4/16,Saturday,15,3
Staten Island,23/3/16,Wednesday,14,2
Staten Island,15/1/16,Friday,16,1
Bronx,10/5/16,Tuesday,1,11
Bronx,1/3/16,Tuesday,17,21
Bronx,29/4/16,Friday,7,8
Bronx,16/2/16,Tuesday,19,1
EWR,30/1/16,Saturday,12,1
EWR,29/1/16,Friday,20,2
Bronx,9/4/16,Saturday,17,12
Staten Island,16/3/16,Wednesday,13,2
Bronx,8/2/16,Monday,22,9
Staten Island,14/4/16,Thursday,5,1
Bronx,12/1/16,Tuesday,12,5
Staten Island,18/3/16,Friday,0,2
Bronx,11/5/16,Wednesday,6,7
EWR,16/5/16,Monday,5,2
Bronx,8/5/16,Sunday,15,12
EWR,22/4/16,Friday,11,1
Bronx,29/5/16,Sunday,9,22
EWR,7/2/16,Sunday,15,4
EWR,29/1/16,Friday,13,1
Staten Island,18/6/16,Saturday,8,2
Bronx,10/5/16,Tuesday,4,8
EWR,28/5/16,Saturday,8,3
Staten Island,17/3/16,Thursday,7,3
Staten Island,14/2/16,Sunday,23,2
Staten Island,13/5/16,Friday,19,3
EWR,7/2/16,Sunday,7,1
EWR,18/5/16,Wednesday,14,2
Staten Island,26/2/16,Friday,23,1
Bronx,24/2/16,Wednesday,19,11
Bronx,31/5/16,Tuesday,9,10
EWR,15/5/16,Sunday,9,1
EWR,9/4/16,Saturday,18,2
Staten Island,24/2/16,Wednesday,5,3
EWR,2/5/16,Monday,18,2
Bronx,22/2/16,Monday,15,9
EWR,20/3/16,Sunday,14,1
Bronx,6/5/16,Friday,13,16
Bronx,12/4/16,Tuesday,10,11
Staten Island,16/3/16,Wednesday,11,3
Bronx,28/5/16,Saturday,18,16
Staten Island,9/4/16,Saturday,15,3
EWR,15/6/16,Wednesday,15,2
EWR,7/6/16,Tuesday,5,1
Bronx,10/2/16,Wednesday,17,16
Bronx,25/6/16,Saturday,1,29
Bronx,6/4/16,Wednesday,20,9
EWR,21/4/16,Thursday,19,2
Staten Island,8/6/16,Wednesday,19,2
Bronx,10/5/16,Tuesday,21,17
Bronx,11/3/16,Friday,19,33
Staten Island,2/4/16,Saturday,8,1
EWR,26/6/16,Sunday,11,2
EWR,31/1/16,Sunday,7,1
Bronx,9/6/16,Thursday,20,11
Bronx,29/4/16,Friday,10,10
Bronx,2/6/16,Thursday,13,5
Bronx,19/4/16,Tuesday,16,5
Bronx,6/4/16,Wednesday,11,3
EWR,20/5/16,Friday,11,4
Bronx,26/6/16,Sunday,14,14
Bronx,3/5/16,Tuesday,9,12
Bronx,22/1/16,Friday,7,18
EWR,15/6/16,Wednesday,7,2
Bronx,25/5/16,Wednesday,13,14
Bronx,27/3/16,Sunday,3,33
Bronx,29/4/16,Friday,21,12
Bronx,8/5/16,Sunday,0,30
Bronx,30/3/16,Wednesday,21,11
Staten Island,10/4/16,Sunday,2,2
EWR,22/2/16,Monday,5,2
Bronx,11/4/16,Monday,9,17
Bronx,21/5/16,Saturday,13,18
EWR,6/3/16,Sunday,14,2
Bronx,14/6/16,Tuesday,10,2
Staten Island,2/6/16,Thursday,16,1
Bronx,25/3/16,Friday,18,9
Staten Island,30/3/16,Wednesday,21,4
Bronx,16/6/16,Thursday,9,12
EWR,31/1/16,Sunday,19,2
EWR,27/6/16,Monday,11,1
EWR,26/6/16,Sunday,12,2
Bronx,12/2/16,Friday,9,17
Bronx,16/6/16,Thursday,12,9
EWR,2/3/16,Wednesday,7,1
Bronx,10/3/16,Thursday,23,20
Bronx,4/3/16,Friday,0,16
Staten Island,4/6/16,Saturday,22,1
EWR,2/4/16,Saturday,16,2
Bronx,15/1/16,Friday,22,16
Staten Island,4/1/16,Monday,14,1
Bronx,12/3/16,Saturday,11,12
Bronx,15/3/16,Tuesday,11,7
Bronx,20/4/16,Wednesday,12,12
Bronx,26/1/16,Tuesday,16,9
EWR,15/5/16,Sunday,3,1
Bronx,15/1/16,Friday,13,6
Staten Island,23/3/16,Wednesday,12,3
EWR,5/1/16,Tuesday,17,1
Bronx,30/5/16,Monday,17,16
Bronx,24/1/16,Sunday,8,32
Staten Island,6/2/16,Saturday,7,3
EWR,24/6/16,Friday,4,7
Bronx,20/1/16,Wednesday,3,1
Bronx,19/3/16,Saturday,4,29
