pickup_borough,pickup_date,pickup_weekday_name,pickup_hour,no_of_trips
Manhattan,2016-06-21,Tuesday,1,4372
Queens,2016-06-23,Thursday,0,844
Brooklyn,2016-06-26,Sunday,8,154
Brooklyn,2016-06-23,Thursday,21,504
Brooklyn,2016-06-22,Wednesday,13,119
Manhattan,2016-06-21,Tuesday,14,17554
Brooklyn,2016-06-25,Saturday,9,264
Manhattan,2016-06-22,Wednesday,14,17435
Brooklyn,2016-06-23,Thursday,23,755
Bronx,2016-06-21,Tuesday,6,7
EWR,2016-06-26,Sunday,13,7
Staten Island,2016-06-23,Thursday,17,3
Bronx,2016-06-24,Friday,10,6
Staten Island,2016-06-23,Thursday,5,1
Brooklyn,2016-06-20,Monday,0,305
Queens,2016-06-24,Friday,16,1309
Bronx,2016-06-22,Wednesday,10,15
Staten Island,2016-06-23,Thursday,10,2
Manhattan,2016-06-22,Wednesday,5,3378
Staten Island,2016-06-23,Thursday,12,2
Brooklyn,2016-06-20,Monday,14,99
Brooklyn,2016-06-26,Sunday,6,111
Queens,2016-06-21,Tuesday,23,1233
Manhattan,2016-06-25,Saturday,15,16447
Brooklyn,2016-06-21,Tuesday,14,92
Queens,2016-06-24,Friday,7,934
Bronx,2016-06-20,Monday,10,3
Queens,2016-06-25,Saturday,19,892
EWR,2016-06-24,Friday,17,3
Bronx,2016-06-22,Wednesday,1,13
Brooklyn,2016-06-21,Tuesday,23,654
Manhattan,2016-06-20,Monday,12,15001
Queens,2016-06-26,Sunday,16,1554
Brooklyn,2016-06-20,Monday,13,78
Manhattan,2016-06-23,Thursday,7,15558
Bronx,2016-06-25,Saturday,21,18
Brooklyn,2016-06-23,Thursday,0,474
Bronx,2016-06-20,Monday,22,10
Bronx,2016-06-21,Tuesday,12,10
EWR,2016-06-24,Friday,7,1
EWR,2016-06-25,Saturday,6,1
EWR,2016-06-25,Saturday,3,2
Brooklyn,2016-06-21,Tuesday,16,94
Manhattan,2016-06-22,Wednesday,1,5568
Brooklyn,2016-06-26,Sunday,10,238
Bronx,2016-06-26,Sunday,12,11
Manhattan,2016-06-26,Sunday,18,14072
Queens,2016-06-26,Sunday,2,410
EWR,2016-06-20,Monday,7,1
Brooklyn,2016-06-25,Saturday,5,185
Staten Island,2016-06-22,Wednesday,0,2
Brooklyn,2016-06-24,Friday,3,241
Brooklyn,2016-06-25,Saturday,8,211
Staten Island,2016-06-24,Friday,0,1
Bronx,2016-06-20,Monday,21,9
Manhattan,2016-06-21,Tuesday,21,20978
Brooklyn,2016-06-21,Tuesday,6,167
Manhattan,2016-06-26,Sunday,8,7588
Manhattan,2016-06-26,Sunday,22,13483
Brooklyn,2016-06-25,Saturday,3,671
Queens,2016-06-20,Monday,18,1324
Queens,2016-06-21,Tuesday,1,343
Brooklyn,2016-06-20,Monday,6,231
Brooklyn,2016-06-21,Tuesday,9,166
Staten Island,2016-06-24,Friday,7,1
Queens,2016-06-20,Monday,23,1369
Bronx,2016-06-24,Friday,21,29
Manhattan,2016-06-26,Sunday,11,14760
Bronx,2016-06-25,Saturday,0,23
Brooklyn,2016-06-24,Friday,9,198
Staten Island,2016-06-23,Thursday,8,4
Queens,2016-06-20,Monday,7,1170
Bronx,2016-06-21,Tuesday,0,13
Bronx,2016-06-21,Tuesday,17,17
Bronx,2016-06-23,Thursday,20,5
EWR,2016-06-23,Thursday,23,1
Manhattan,2016-06-25,Saturday,17,17500
Brooklyn,2016-06-21,Tuesday,11,76
EWR,2016-06-23,Thursday,20,2
Queens,2016-06-21,Tuesday,10,1097
Bronx,2016-06-20,Monday,14,10
Brooklyn,2016-06-22,Wednesday,5,104
EWR,2016-06-23,Thursday,4,2
Bronx,2016-06-21,Tuesday,10,4
Manhattan,2016-06-23,Thursday,9,18397
Bronx,2016-06-23,Thursday,22,11
Bronx,2016-06-25,Saturday,12,11
Queens,2016-06-25,Saturday,15,1123
Bronx,2016-06-20,Monday,3,10
Queens,2016-06-21,Tuesday,2,162
Manhattan,2016-06-23,Thursday,8,19481
Brooklyn,2016-06-26,Sunday,9,178
EWR,2016-06-23,Thursday,17,1
EWR,2016-06-22,Wednesday,14,1
EWR,2016-06-23,Thursday,9,1
Staten Island,2016-06-22,Wednesday,14,1
EWR,2016-06-21,Tuesday,13,2
Staten Island,2016-06-23,Thursday,14,3
Bronx,2016-06-25,Saturday,17,19
Manhattan,2016-06-22,Wednesday,21,21949
Brooklyn,2016-06-26,Sunday,15,182
Staten Island,2016-06-22,Wednesday,3,1
Queens,2016-06-23,Thursday,1,404
Staten Island,2016-06-23,Thursday,9,4
Queens,2016-06-22,Wednesday,0,986
Bronx,2016-06-23,Thursday,6,13
Staten Island,2016-06-25,Saturday,8,1
Brooklyn,2016-06-23,Thursday,19,385
Brooklyn,2016-06-22,Wednesday,11,104
Manhattan,2016-06-21,Tuesday,19,21572
Staten Island,2016-06-22,Wednesday,10,2
Manhattan,2016-06-25,Saturday,18,19635
Queens,2016-06-22,Wednesday,2,131
Manhattan,2016-06-21,Tuesday,20,19610
Staten Island,2016-06-21,Tuesday,9,3
Bronx,2016-06-21,Tuesday,22,23
Bronx,2016-06-26,Sunday,15,23
EWR,2016-06-22,Wednesday,17,1
Queens,2016-06-20,Monday,20,1431
Queens,2016-06-20,Monday,22,1200
Staten Island,2016-06-25,Saturday,15,2
Manhattan,2016-06-24,Friday,14,16712
Queens,2016-06-23,Thursday,19,1407
Bronx,2016-06-20,Monday,0,17
Bronx,2016-06-22,Wednesday,15,17
Manhattan,2016-06-26,Sunday,9,10492
Manhattan,2016-06-20,Monday,13,15126
EWR,2016-06-20,Monday,5,2
Bronx,2016-06-22,Wednesday,22,8
Bronx,2016-06-22,Wednesday,6,11
Staten Island,2016-06-22,Wednesday,16,2
Queens,2016-06-20,Monday,0,1074
Queens,2016-06-20,Monday,17,1505
Staten Island,2016-06-23,Thursday,15,2
Brooklyn,2016-06-23,Thursday,18,391
EWR,2016-06-24,Friday,16,3
Queens,2016-06-25,Saturday,4,346
Queens,2016-06-25,Saturday,11,923
Brooklyn,2016-06-24,Friday,20,359
Bronx,2016-06-20,Monday,15,10
Queens,2016-06-26,Sunday,22,1722
Brooklyn,2016-06-20,Monday,17,115
Bronx,2016-06-21,Tuesday,8,7
Bronx,2016-06-24,Friday,16,11
