pickup_borough,pickup_date,pickup_weekday_name,pickup_hour,no_of_trips
Manhattan,2016-06-23,Thursday,0,11478
Manhattan,2016-06-24,Friday,4,4065
Manhattan,2016-06-26,Sunday,4,7383
Manhattan,2016-06-25,Saturday,1,16881
Manhattan,2016-06-26,Sunday,16,12806
Queens,2016-06-23,Thursday,17,1346
Bronx,2016-06-24,Friday,20,13
Queens,2016-06-25,Saturday,8,610
Bronx,2016-06-24,Friday,7,4
Bronx,2016-06-23,Thursday,5,15
Staten Island,2016-06-25,Saturday,14,2
Bronx,2016-06-20,Monday,23,10
Brooklyn,2016-06-23,Thursday,11,80
Brooklyn,2016-06-23,Thursday,15,90
Brooklyn,2016-06-22,Wednesday,22,564
Manhattan,2016-06-23,Thursday,15,16391
Queens,2016-06-21,Tuesday,4,136
Bronx,2016-06-20,Monday,11,3
Queens,2016-06-25,Saturday,5,310
EWR,2016-06-24,Friday,19,2
Bronx,2016-06-22,Wednesday,0,15
Bronx,2016-06-26,Sunday,8,9
EWR,2016-06-23,Thursday,5,2
Manhattan,2016-06-20,Monday,19,19432
Brooklyn,2016-06-21,Tuesday,5,85
Bronx,2016-06-20,Monday,2,6
Brooklyn,2016-06-24,Friday,11,123
Queens,2016-06-22,Wednesday,5,331
Staten Island,2016-06-23,Thursday,18,3
Queens,2016-06-21,Tuesday,21,1293
Manhattan,2016-06-23,Thursday,18,22482
Manhattan,2016-06-25,Saturday,7,6276
Bronx,2016-06-22,Wednesday,17,26
Queens,2016-06-26,Sunday,11,1009
Manhattan,2016-06-25,Saturday,14,16702
Queens,2016-06-25,Saturday,0,1001
Manhattan,2016-06-21,Tuesday,2,2677
Bronx,2016-06-23,Thursday,0,7
Bronx,2016-06-25,Saturday,3,25
Bronx,2016-06-21,Tuesday,14,8
Queens,2016-06-25,Saturday,18,942
